Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
18445038725669004535,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725669004791,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725669005047,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725667587265,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667587521,0000029A,false,Rx,0,8,02,36,34,34,FF,FF,FF,FF,
18445038725667589868,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667590593,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667590892,0000056A,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725667591148,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725667591361,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667592044,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667594519,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667594775,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667595031,0000038A,false,Rx,0,8,3F,3C,00,00,04,00,00,00,
18445038725667597036,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725667597249,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667597505,00000566,false,Rx,0,8,02,8A,0A,80,A8,A0,AA,8A,
18445038725667597761,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725667599937,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667600193,00000564,false,Rx,0,8,02,8A,AA,8A,A8,A0,AA,8A,
18445038725667600449,00000424,false,Rx,0,8,04,75,04,1F,86,A9,02,00,
18445038725667600662,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667600876,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725667601132,0000056B,false,Rx,0,8,AA,02,00,00,80,AA,01,00,
18445038725667601345,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667602028,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667604502,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667604758,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667605014,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725667606337,00000374,false,Rx,0,8,79,7C,7D,FE,3F,3E,3A,30,
18445038725667607276,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667607574,00000567,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725667609878,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667610134,00000565,false,Rx,0,8,AA,02,00,00,80,AA,00,00,
18445038725667610604,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667610902,0000056F,false,Rx,0,8,2A,88,2A,08,00,00,28,0A,
18445038725667611158,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
18445038725667611414,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667612012,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667614529,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667614742,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667614998,00000389,false,Rx,0,8,02,00,00,3C,3C,00,00,00,
18445038725667616321,00000375,false,Rx,0,8,0F,0F,00,17,98,00,00,00,
18445038725667617004,00000370,false,Rx,0,8,05,BE,00,00,00,00,00,00,
18445038725667617302,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667617558,0000056D,false,Rx,0,8,2A,00,00,00,00,00,28,0A,
18445038725667617814,00000732,false,Rx,0,8,03,E8,03,E8,64,64,0D,3E,
18445038725667619521,00000371,false,Rx,0,8,0A,00,00,00,00,00,00,00,
18445038725667619990,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667620246,0000056C,false,Rx,0,8,2A,88,02,00,00,00,28,0A,
18445038725667620502,00000154,false,Rx,0,8,99,99,30,99,16,11,F8,5C,
18445038725667620715,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667620971,0000075A,false,Rx,0,8,03,E8,03,E8,64,64,3C,3C,
18445038725667621313,00000373,false,Rx,0,8,BA,B9,7F,BC,0C,5C,80,16,
18445038725667621995,00000287,false,Rx,0,8,27,10,27,10,27,10,00,00,
18445038725667623830,000005A1,false,Rx,0,8,2A,A2,AA,2A,A2,8A,82,A2,
18445038725667624470,00000285,false,Rx,0,8,00,00,02,19,76,00,08,10,
18445038725667624726,00000362,false,Rx,0,8,02,01,00,00,00,00,00,00,
18445038725667624982,00000377,false,Rx,0,8,04,AB,00,05,3D,40,3C,20,
18445038725667626987,00000286,false,Rx,0,8,00,00,00,3D,00,00,0A,00,
18445038725667627329,00000289,false,Rx,0,8,27,10,4E,20,00,06,11,10,
18445038725667629846,00000288,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667630571,0000028B,false,Rx,0,8,27,10,4E,20,00,06,01,10,
18445038725667630827,0000029B,false,Rx,0,8,43,3D,43,3D,3B,0A,14,3E,
18445038725667631083,00000734,false,Rx,0,8,03,E8,03,E8,64,64,3D,3D,
